ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios
6242;1;12;0;49%;385;;13;5;0;2;7
6242;0;11;0;51%;399;;15;5;0;1;6
6245;1;14;0;36%;290;;14;2;0;2;5
6245;0;14;0;64%;516;;12;2;0;1;8
6248;1;15;0;57%;465;;9;0;0;3;3
6248;0;8;0;43%;360;;18;3;0;1;1
6243;1;12;2;43%;372;;23;3;0;0;0
6243;0;13;5;57%;484;;16;4;0;0;6
6247;1;12;0;38%;351;;6;1;1;3;4
6247;0;12;0;62%;575;;19;5;0;2;6
6246;1;12;0;48%;388;;14;2;0;4;7
6246;0;15;0;52%;429;;11;3;0;1;5
6249;1;14;0;53%;505;;17;2;1;1;4
6249;0;6;0;47%;469;;12;2;0;1;2
6244;1;19;0;64%;509;;12;1;0;0;6
6244;0;10;0;36%;284;;13;3;0;2;3
6250;1;21;0;47%;359;;23;4;0;0;8
6250;0;8;0;53%;407;;14;5;0;5;8
6254;1;8;0;46%;383;;19;2;1;1;5
6254;0;17;0;54%;440;;22;5;0;1;6
6257;1;10;0;39%;345;;22;3;0;2;2
6257;0;5;0;61%;549;;10;1;0;4;6
6255;1;8;0;63%;588;;14;1;0;3;2
6255;0;14;0;37%;345;;18;4;0;1;5
6252;1;20;0;51%;344;;18;4;1;10;10
6252;0;14;0;49%;368;;16;4;0;1;2
6251;1;7;0;48%;414;;16;2;0;2;3
6251;0;12;0;52%;452;;14;2;0;3;4
6253;1;14;8;60%;520;;12;0;0;0;8
6253;0;11;2;40%;345;;11;3;0;6;3
6256;1;9;0;40%;350;;11;3;0;1;3
6256;0;14;0;60%;510;;14;3;0;2;7
6259;1;13;0;51%;430;;16;0;0;1;4
6259;0;13;0;49%;420;;12;1;0;2;9
6258;1;14;0;65%;572;;14;4;0;3;9
6258;0;6;0;35%;330;;9;4;0;1;4
6262;1;15;0;53%;464;;10;0;0;0;7
6262;0;5;0;47%;420;;10;0;0;1;3
6261;1;15;0;47%;416;;19;2;1;1;5
6261;0;4;0;53%;463;;16;2;0;5;5
6260;1;18;0;77%;539;;15;4;1;5;4
6260;0;7;0;23%;169;;17;1;3;2;2
6267;1;16;0;54%;476;;15;0;0;5;4
6267;0;5;0;46%;420;;15;4;0;1;3
6264;1;15;0;64%;507;;9;1;0;1;9
6264;0;8;0;36%;294;;17;2;0;1;11
6269;1;18;0;74%;690;;15;3;0;3;5
6269;0;9;0;26%;248;;12;3;1;0;3
6263;1;16;0;49%;312;;20;6;0;2;11
6263;0;7;0;51%;351;;14;3;0;2;1
6266;1;12;0;52%;363;;19;2;0;1;4
6266;0;10;0;48%;365;;22;4;0;3;1
6268;1;7;0;53%;437;;13;6;0;2;5
6268;0;20;0;47%;402;;24;5;1;0;9
6265;1;12;0;56%;517;;9;1;0;0;7
6265;0;12;0;44%;448;;9;0;0;3;1
6276;1;10;0;47%;406;;20;2;1;0;2
6276;0;12;0;53%;438;;23;1;0;0;4
6273;1;11;0;62%;587;;17;3;0;3;5
6273;0;11;0;38%;369;;16;3;0;2;2
6274;1;8;0;46%;367;;21;5;1;2;3
6274;0;7;0;54%;426;;23;2;1;0;3
6270;1;14;0;51%;403;;7;2;0;2;10
6270;0;12;0;49%;407;;9;2;0;1;6
6271;1;9;3;53%;426;;11;1;0;1;3
6271;0;16;5;47%;376;;24;4;0;2;7
6275;1;15;0;48%;431;;11;1;0;2;2
6275;0;11;0;52%;462;;9;1;0;3;2
6272;1;14;0;56%;604;;7;0;0;0;4
6272;0;15;0;44%;473;;6;3;0;2;6
6279;1;19;0;40%;382;;8;3;0;0;6
6279;0;10;0;60%;591;;6;1;0;1;5
6277;1;9;0;55%;361;;13;4;0;2;2
6277;0;7;0;45%;305;;10;2;0;3;6
6278;1;10;0;46%;360;;18;3;0;1;3
6278;0;10;0;54%;412;;10;3;0;2;7
6280;1;25;0;62%;514;;13;4;0;0;4
6280;0;7;0;38%;322;;26;7;0;0;3
6281;1;15;0;53%;424;;19;4;0;3;4
6281;0;4;0;47%;382;;18;3;1;5;4
6286;1;16;0;38%;333;;22;5;0;1;2
6286;0;20;0;62%;531;;15;2;0;0;10
6284;1;13;0;69%;595;;10;0;0;2;8
6284;0;7;0;31%;267;;17;1;0;3;6
6282;1;12;0;35%;278;;17;2;1;4;3
6282;0;16;0;65%;499;;16;5;0;3;9
6287;1;12;0;52%;473;;11;3;0;1;6
6287;0;14;0;48%;460;;13;3;0;0;4
6285;1;13;0;49%;429;;13;2;0;1;3
6285;0;9;0;51%;440;;12;1;0;3;7
6289;1;14;0;44%;351;;18;2;0;4;6
6289;0;17;0;56%;423;;20;2;0;2;13
6283;1;13;0;65%;581;;18;2;0;2;2
6283;0;12;0;35%;326;;19;2;0;2;3
6288;1;6;2;57%;440;;19;2;0;1;3
6288;0;13;3;43%;336;;17;3;0;0;2
6290;1;15;0;33%;262;;19;4;0;3;5
6290;0;7;0;67%;555;;11;3;0;6;3
6295;1;9;2;51%;392;;14;1;0;3;5
6295;0;12;9;49%;372;;19;3;0;0;6
6296;1;9;0;49%;449;;12;2;0;0;11
6296;0;8;0;51%;489;;11;5;0;2;1
6292;1;7;0;63%;362;;16;2;0;0;6
6292;0;10;0;37%;217;;23;4;0;0;1
6293;1;16;0;48%;423;;13;1;0;1;7
6293;0;5;0;52%;488;;5;2;0;1;2
6297;1;13;0;44%;477;;7;1;0;2;1
6297;0;16;0;56%;592;;11;1;0;1;3
6294;1;13;0;44%;348;;15;2;0;4;5
6294;0;14;0;56%;425;;12;1;0;1;6
6291;1;12;0;53%;437;;15;4;0;0;11
6291;0;10;0;47%;398;;4;2;1;2;11
6298;1;7;0;59%;474;;12;2;0;2;6
6298;0;8;0;41%;354;;14;2;0;2;3
6299;1;17;0;73%;627;;12;2;0;2;10
6299;0;8;0;27%;245;;21;3;0;3;0
6301;1;14;0;41%;284;;22;2;0;2;9
6301;0;9;0;59%;432;;17;4;0;1;2
6300;1;9;0;53%;415;;22;1;0;2;5
6300;0;8;0;47%;368;;22;5;0;0;5
6302;1;9;0;40%;348;;14;3;0;2;5
6302;0;10;0;60%;498;;14;4;0;1;7
6308;1;12;0;45%;379;;6;0;0;2;3
6308;0;7;0;55%;437;;12;1;0;0;8
6305;1;14;0;57%;464;;8;2;0;2;9
6305;0;6;0;43%;357;;10;5;2;3;6
6309;1;14;0;44%;372;;13;2;0;4;2
6309;0;13;0;56%;477;;10;2;0;2;5
6303;1;14;0;45%;379;;16;2;0;0;6
6303;0;11;0;55%;438;;16;2;0;4;6
6304;1;12;0;38%;294;;17;3;0;3;9
6304;0;11;0;62%;490;;19;4;0;2;5
6307;1;18;0;55%;416;;15;2;0;2;3
6307;0;5;0;45%;364;;12;0;1;2;6
6306;1;9;0;38%;260;;19;7;1;1;5
6306;0;9;0;62%;407;;23;3;0;2;5
6310;1;7;0;52%;437;;27;4;0;0;0
6310;0;14;0;48%;405;;15;3;0;2;4
6311;1;14;0;54%;538;;13;1;0;2;3
6311;0;13;0;46%;426;;12;3;0;0;8
